Tiempo (s),Temperatura (°C),Potencia Luz (%),Potencia Luz Aplicada (%),Velocidad Ventilador (RPM),Potencia Ventilador (%)
86.888,26.63,,56.77,0.0,0
87.209,26.6,,57.84,0.0,0
87.525,26.75,,53.23,0.0,0
87.839,26.6,,57.91,0.0,0
88.162,26.61,,57.43,0.0,0
88.474,26.41,,63.67,0.0,0
88.784,26.72,,54.48,0.0,0
89.095,26.73,,53.99,60.0,0
89.403,26.73,,54.02,60.0,0
89.712,26.73,,54.04,60.0,0
90.026,26.75,,53.55,60.0,0
90.35,26.77,,53.08,0.0,0
90.66,26.77,,53.11,0.0,0
90.971,27.01,,45.89,0.0,0
91.283,26.78,,52.61,30.0,0
91.594,27.01,,45.91,30.0,0
91.907,26.82,,51.63,30.0,0
92.219,26.7,,55.27,0.0,0
92.528,26.84,,51.18,0.0,0
92.839,26.8,,52.23,0.0,0
93.15,27.23,,39.24,0.0,0
93.464,27.08,,43.87,30.0,0
93.775,26.94,,47.99,30.0,0
94.089,26.98,,46.96,30.0,0
94.399,26.53,,60.48,0.0,0
94.727,26.48,,62.08,0.0,0
94.728,26.61,,58.02,0.0,0
95.035,26.58,,59.09,0.0,0
95.35,26.66,,56.55,0.0,0
95.663,26.92,,48.81,0.0,0
95.976,26.68,,56.06,30.0,0
96.285,26.89,,49.91,30.0,0
96.599,26.79,,53.02,30.0,0
96.908,26.7,,55.64,30.0,0
97.226,26.7,,55.67,30.0,0
97.532,26.75,,54.15,30.0,0
97.844,26.53,,60.95,30.0,0
98.154,26.51,,61.52,0.0,0
98.464,26.72,,55.37,0.0,0
98.779,26.8,,52.8,0.0,0
99.087,27.04,,45.59,30.0,0
99.4,27.08,,44.54,30.0,0
99.727,27.13,,42.98,30.0,0
100.037,26.9,,49.69,30.0,0
100.346,27.06,,45.0,0.0,0
100.654,26.98,,47.57,0.0,0
100.964,26.8,,52.76,0.0,0
101.275,27.11,,43.45,0.0,0
101.59,26.94,,48.65,0.0,0
101.903,26.94,,48.66,0.0,0
102.215,26.89,,50.23,0.0,0
102.525,26.68,,56.47,0.0,0
102.849,26.48,,62.7,0.0,0
103.157,26.77,,53.96,0.0,0
103.468,26.84,,51.91,90.0,0
103.47,26.92,,49.35,90.0,0
103.776,26.91,,49.87,90.0,0
104.088,26.89,,50.4,0.0,0
104.412,26.68,,56.63,0.0,0
104.723,26.89,,50.46,0.0,0
105.032,26.96,,48.42,0.0,0
105.344,26.92,,49.46,0.0,0
105.657,26.82,,52.56,0.0,0
105.968,26.84,,52.06,0.0,0
106.277,26.89,,50.53,90.0,0
106.586,26.7,,56.26,90.0,0
106.913,26.73,,55.26,90.0,0
107.225,26.73,,55.28,30.0,0
107.537,26.73,,55.31,30.0,0
107.849,26.75,,54.82,30.0,0
108.162,27.09,,44.51,0.0,0
108.472,26.91,,50.2,0.0,0
108.782,26.97,,48.14,0.0,0
109.091,26.97,,48.14,0.0,0
109.404,26.94,,49.18,60.0,0
109.713,26.9,,50.24,60.0,0
110.038,27.11,,44.02,60.0,0
110.355,26.91,,50.23,90.0,0
110.679,27.01,,47.13,90.0,0
110.989,26.92,,49.73,90.0,0
111.298,26.89,,50.77,30.0,0
111.607,27.08,,45.08,30.0,0
111.608,27.02,,46.63,30.0,0
111.918,27.06,,45.59,30.0,0
112.241,27.02,,46.62,0.0,0
